image,type,subtype,concatenated_type,set
100201600.png,Rost,Strassenrost,Rost / Strassenrost,train
100023200.png,Rost,Strassenrost,Rost / Strassenrost,train
100070000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100001200.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100080900.png,Rost,Strassenrost,Rost / Strassenrost,train
100062000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100180300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100036000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100048200.png,Rost,Strassenrost,Rost / Strassenrost,train
100003100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100047300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100216700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100204700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100207700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100178000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100092200.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100099800.png,Rost,Strassenrost,Rost / Strassenrost,train
100204600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100205900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100047900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100076500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100133200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100165400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100127900.png,Rost,Strassenrost,Rost / Strassenrost,train
100131200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100078000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100190000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100020200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100091600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100045400.png,Rost,Strassenrost,Rost / Strassenrost,train
100209100.png,Rost,Strassenrost,Rost / Strassenrost,train
100116200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100191400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100020800.png,Rost,Strassenrost,Rost / Strassenrost,train
100157500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100024200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100215900.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,val
100209000.png,Rost,Strassenrost,Rost / Strassenrost,train
100187900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100208600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100163500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100087300.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100107900.png,Rost,Strassenrost,Rost / Strassenrost,train
100049800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100027100.png,Andere,-,Andere / -,train
100024000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100062700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100074700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100128700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100049000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100154300.png,Rost,Strassenrost,Rost / Strassenrost,train
100094200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100057000.png,Rost,Strassenrost,Rost / Strassenrost,train
100142200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100188700.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,val
100012700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100081300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100038500.png,Rost,Strassenrost,Rost / Strassenrost,train
100101300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100098700.png,Rost,Strassenrost,Rost / Strassenrost,train
100198600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100027800.png,Rost,Strassenrost,Rost / Strassenrost,train
100053200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100117600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100054300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100009600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100185800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100062800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100043600.png,Rost,Strassenrost,Rost / Strassenrost,train
100142700.png,Rost,Strassenrost,Rost / Strassenrost,val
100096600.png,Rost,Strassenrost,Rost / Strassenrost,test
100156400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100022500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100211800.png,Rost,Strassenrost,Rost / Strassenrost,train
100145900.png,Rost,Strassenrost,Rost / Strassenrost,train
100201800.png,Rost,Strassenrost,Rost / Strassenrost,train
100049200.png,Rost,Strassenrost,Rost / Strassenrost,train
100196100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100076000.png,Rost,Strassenrost,Rost / Strassenrost,train
100055900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100021800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100131800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100215400.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100064700.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100085200.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100143400.png,Andere,-,Andere / -,train
100203000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100121900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100033900.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100088800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100038900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100127100.png,Rost,Strassenrost,Rost / Strassenrost,train
100186900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100018800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100022000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100025300.png,Rost,Strassenrost,Rost / Strassenrost,val
100185600.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100136400.png,Rost,Strassenrost,Rost / Strassenrost,train
100114800.png,Rost,Strassenrost,Rost / Strassenrost,train
100141400.png,Rost,Strassenrost,Rost / Strassenrost,train
100114400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100128600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100017700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100050500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100157900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100013600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100190100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100169500.png,Rost,Strassenrost,Rost / Strassenrost,train
100015300.png,Andere,-,Andere / -,train
100077600.png,Andere,-,Andere / -,train
100160600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100201200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100206100.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100145300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100117000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100155500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100129500.png,Rost,Strassenrost,Rost / Strassenrost,train
100075600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100112800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100148500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100211600.png,Rost,Strassenrost,Rost / Strassenrost,train
100188500.png,Rost,Strassenrost,Rost / Strassenrost,train
100046600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100154600.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100022100.png,Rost,Strassenrost,Rost / Strassenrost,train
100074200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100183000.png,Rost,Strassenrost,Rost / Strassenrost,train
100042400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100130800.png,Rost,Strassenrost,Rost / Strassenrost,train
100158100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100116700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100035000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100141200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100055000.png,Rost,Strassenrost,Rost / Strassenrost,val
100216300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100194400.png,Rost,Strassenrost,Rost / Strassenrost,train
100125800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100032800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100199700.png,Rost,Strassenrost,Rost / Strassenrost,train
100033700.png,Rost,Strassenrost,Rost / Strassenrost,train
100193200.png,Rost,Strassenrost,Rost / Strassenrost,test
100058100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100040500.png,Rost,Strassenrost,Rost / Strassenrost,train
100066100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100142000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100153100.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100194700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100047900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100184800.png,Rost,Strassenrost,Rost / Strassenrost,val
100037200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100149500.png,Rost,Strassenrost,Rost / Strassenrost,train
100101700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100147000.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100209600.png,Rost,Strassenrost,Rost / Strassenrost,train
100114300.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,test
100027200.png,Rost,Strassenrost,Rost / Strassenrost,train
100114900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100024700.png,Rost,Strassenrost,Rost / Strassenrost,train
100087500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100185500.png,Rost,Strassenrost,Rost / Strassenrost,train
100002000.png,Rost,Strassenrost,Rost / Strassenrost,train
100077500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100107300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100159300.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,val
100139600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100210000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100181900.png,Rost,Strassenrost,Rost / Strassenrost,train
100088200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100002400.png,Andere,-,Andere / -,train
100004500.png,Andere,-,Andere / -,val
100206500.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100108000.png,Rost,Strassenrost,Rost / Strassenrost,train
100053900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100128500.png,Rost,Strassenrost,Rost / Strassenrost,train
100196300.png,Rost,Strassenrost,Rost / Strassenrost,train
100060500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100203800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100170200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100074800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100040400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100197800.png,Rost,Strassenrost,Rost / Strassenrost,train
100204500.png,Rost,Strassenrost,Rost / Strassenrost,train
100141700.png,Rost,Strassenrost,Rost / Strassenrost,test
100150900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100028200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
