,image,transforms,set,label
0,100171600_jit_rcont_rinv.png,jit_rcont_rinv,train,"Vollguss/Handgriff geschlossen, verschraubt"
1,100202900_blur_fliph_rcont.png,blur_fliph_rcont,train,Gussbeton/Handgriff seitlich
2,100182800_orig_rcont_rcrop.png,orig_rcont_rcrop,train,Andere/-
4,100089000_fliph_pers_raff.png,fliph_pers_raff,train,Vollguss/Pickelloch belueftet
5,100154200_blur_flipv_rinv.png,blur_flipv_rinv,train,Rost/Strassenrost
6,100045500_flipv_rot_rshrp.png,flipv_rot_rshrp,train,Rost/Strassenrost gewoelbt
7,100068300_fliph_flipv_pers.png,fliph_flipv_pers,train,Vollguss/Pickelloch geschlossen
9,100014000_flipv_orig_rshrp.png,flipv_orig_rshrp,train,Vollguss/Pickelloch belueftet
10,100063300_blur_jit_orig.png,blur_jit_orig,train,Rost/Strassenrost
11,100019000_flipv_pers_rcrop.png,flipv_pers_rcrop,train,Gussbeton/Handgriff mitte
12,100044500_fliph_jit_rinv.png,fliph_jit_rinv,train,Rost/Strassenrost gewoelbt
13,100025600_blur_fliph_flipv.png,blur_fliph_flipv,train,Andere/-
14,100044500_jit_rinv_rshrp.png,jit_rinv_rshrp,train,Rost/Strassenrost gewoelbt
15,100087300_jit_rinv_rot.png,jit_rinv_rot,train,Gussbeton/Handgriff seitlich
16,100084900_blur_rot_rshrp.png,blur_rot_rshrp,train,Gussbeton/Pickelloch geschlossen
17,100027300_blur_fliph_pers.png,blur_fliph_pers,train,Vollguss/Handgriff geschlossen
18,100059500_jit_raff_rinv.png,jit_raff_rinv,train,"Vollguss/Handgriff geschlossen, verschraubt"
19,100100000_blur_rcrop_rinv.png,blur_rcrop_rinv,train,Rost/Strassenrost gewoelbt
20,100011700_pers_rcrop_rinv.png,pers_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
21,100019700_blur_flipv_pers.png,blur_flipv_pers,train,Gussbeton/Handgriff seitlich
23,100078100_flipv_jit_rshrp.png,flipv_jit_rshrp,train,Rost/Einlauf rund
25,100097600_jit_raff_rot.png,jit_raff_rot,train,Gussbeton/Handgriff mitte
26,100063600_flipv_rcont_rot.png,flipv_rcont_rot,train,Rost/Einlauf rund
27,100048500_jit_orig_rinv.png,jit_orig_rinv,train,Vollguss/Pickelloch belueftet
28,100172000_flipv_rcrop_rinv.png,flipv_rcrop_rinv,train,"Vollguss/Handgriff geschlossen, verschraubt"
29,100200600_jit_raff_rcont.png,jit_raff_rcont,train,"Vollguss/Handgriff geschlossen, verschraubt"
30,100003000_jit_orig_rcont.png,jit_orig_rcont,train,Gussbeton/Handgriff seitlich
31,100115100_orig_pers_rcont.png,orig_pers_rcont,train,Rost/Strassenrost gewoelbt
32,100037100_blur_flipv_orig.png,blur_flipv_orig,train,Gussbeton/Pickelloch belueftet
33,100147900_blur_jit_rshrp.png,blur_jit_rshrp,train,Gussbeton/Handgriff mitte
34,100029900_fliph_orig_rshrp.png,fliph_orig_rshrp,train,"Vollguss/Handgriff geschlossen, verschraubt"
35,100147900_blur_flipv_pers.png,blur_flipv_pers,train,Gussbeton/Handgriff mitte
36,100191700_jit_raff_rot.png,jit_raff_rot,train,Gussbeton/Pickelloch belueftet
37,100003000_flipv_orig_rcont.png,flipv_orig_rcont,train,Gussbeton/Handgriff seitlich
38,100099300_rcrop_rinv_rot.png,rcrop_rinv_rot,train,Rost/Strassenrost gewoelbt
39,100121800_raff_rcrop_rshrp.png,raff_rcrop_rshrp,train,Vollguss/Handgriff geschlossen
40,100032300_orig_rcont_rshrp.png,orig_rcont_rshrp,train,Gussbeton/Handgriff mitte
41,100061600_fliph_rcrop_rinv.png,fliph_rcrop_rinv,train,Gussbeton/Pickelloch geschlossen
42,100026200_flipv_jit_orig.png,flipv_jit_orig,train,Andere/-
44,100132900_jit_rcont_rcrop.png,jit_rcont_rcrop,train,Gussbeton/Handgriff mitte
45,100130000_flipv_raff_rshrp.png,flipv_raff_rshrp,train,Gussbeton/Pickelloch belueftet
46,100165000_fliph_raff_rcont.png,fliph_raff_rcont,train,Vollguss/Handgriff geschlossen
47,100160800_fliph_flipv_rcont.png,fliph_flipv_rcont,train,Vollguss/Aufklappbar
48,100206500_blur_jit_rshrp.png,blur_jit_rshrp,train,Rost/Einlauf rund
49,100152300_blur_fliph_rshrp.png,blur_fliph_rshrp,train,Gussbeton/Pickelloch geschlossen
50,100001300_fliph_rinv_rot.png,fliph_rinv_rot,train,Vollguss/Pickelloch belueftet
51,100035700_pers_raff_rcrop.png,pers_raff_rcrop,train,Vollguss/Pickelloch geschlossen
52,100069000_pers_raff_rinv.png,pers_raff_rinv,train,Rost/Einlauf rund
53,100160800_fliph_rcont_rot.png,fliph_rcont_rot,train,Vollguss/Aufklappbar
54,100112700_fliph_orig_rcont.png,fliph_orig_rcont,train,Vollguss/Aufklappbar
55,100108200_fliph_rinv_rot.png,fliph_rinv_rot,train,Rost/Einlauf rund
56,100034500_pers_rcrop_rot.png,pers_rcrop_rot,train,Vollguss/Handgriff geschlossen
57,100087600_blur_jit_rshrp.png,blur_jit_rshrp,train,Vollguss/Handgriff geschlossen
59,100015100_fliph_rcont_rot.png,fliph_rcont_rot,train,Rost/Einlauf rund
61,100038300_flipv_rot_rshrp.png,flipv_rot_rshrp,train,Andere/-
62,100073600_fliph_pers_raff.png,fliph_pers_raff,train,Gussbeton/Handgriff seitlich
63,100202900_fliph_orig_pers.png,fliph_orig_pers,train,Gussbeton/Handgriff seitlich
64,100122900_pers_rcrop_rinv.png,pers_rcrop_rinv,train,Rost/Strassenrost
65,100119600_pers_rcont_rinv.png,pers_rcont_rinv,train,Vollguss/Pickelloch belueftet
66,100099700_pers_rinv_rshrp.png,pers_rinv_rshrp,train,Rost/Einlauf rund
67,100215100_rcont_rot_rshrp.png,rcont_rot_rshrp,train,Vollguss/Aufklappbar
68,100160800_flipv_orig_pers.png,flipv_orig_pers,train,Vollguss/Aufklappbar
69,100064700_flipv_jit_pers.png,flipv_jit_pers,train,Rost/Strassenrost gewoelbt
70,100097800_fliph_flipv_raff.png,fliph_flipv_raff,train,Rost/Strassenrost
71,100045200_blur_flipv_rot.png,blur_flipv_rot,train,Rost/Strassenrost gewoelbt
72,100091300_jit_raff_rcrop.png,jit_raff_rcrop,train,Vollguss/Pickelloch geschlossen
73,100215800_blur_rinv_rshrp.png,blur_rinv_rshrp,train,Vollguss/Aufklappbar
75,100192800_flipv_rcrop_rshrp.png,flipv_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
76,100109600_jit_pers_rinv.png,jit_pers_rinv,train,Vollguss/Pickelloch geschlossen
77,100118800_blur_fliph_rinv.png,blur_fliph_rinv,train,Rost/Strassenrost gewoelbt
78,100024500_fliph_rcrop_rot.png,fliph_rcrop_rot,train,Rost/Strassenrost
79,100165400_rcont_rot_rshrp.png,rcont_rot_rshrp,train,Vollguss/Handgriff geschlossen
80,100002900_rinv_rot_rshrp.png,rinv_rot_rshrp,train,Andere/-
81,100062500_flipv_orig_pers.png,flipv_orig_pers,train,Rost/Einlauf rund
82,100123600_pers_raff_rcont.png,pers_raff_rcont,train,Rost/Strassenrost
83,100094900_jit_orig_rot.png,jit_orig_rot,train,Vollguss/Handgriff geschlossen
84,100034000_fliph_raff_rcont.png,fliph_raff_rcont,train,Gussbeton/Pickelloch geschlossen
85,100089700_jit_rcrop_rinv.png,jit_rcrop_rinv,train,Rost/Strassenrost
86,100115100_flipv_rcrop_rinv.png,flipv_rcrop_rinv,train,Rost/Strassenrost gewoelbt
87,100182400_jit_rinv_rshrp.png,jit_rinv_rshrp,train,Gussbeton/Pickelloch geschlossen
88,100129400_fliph_raff_rshrp.png,fliph_raff_rshrp,train,Vollguss/Handgriff geschlossen
89,100021700_pers_rcrop_rot.png,pers_rcrop_rot,train,Andere/-
90,100176300_jit_pers_rcrop.png,jit_pers_rcrop,train,"Vollguss/Handgriff geschlossen, verschraubt"
91,100171900_jit_rcont_rshrp.png,jit_rcont_rshrp,train,Andere/-
92,100009000_jit_raff_rshrp.png,jit_raff_rshrp,train,Rost/Strassenrost gewoelbt
93,100142600_jit_pers_rshrp.png,jit_pers_rshrp,train,Vollguss/Pickelloch geschlossen
94,100014400_jit_pers_rcrop.png,jit_pers_rcrop,train,Gussbeton/Pickelloch geschlossen
95,100093900_flipv_raff_rshrp.png,flipv_raff_rshrp,train,"Vollguss/Handgriff geschlossen, verschraubt"
96,100005800_blur_fliph_jit.png,blur_fliph_jit,train,Vollguss/Pickelloch geschlossen
97,100107800_jit_pers_rinv.png,jit_pers_rinv,train,Andere/-
98,100055300_blur_rcont_rinv.png,blur_rcont_rinv,train,Andere/-
99,100115100_pers_rcont_rot.png,pers_rcont_rot,train,Rost/Strassenrost gewoelbt
100,100178800_fliph_jit_rcont.png,fliph_jit_rcont,train,Gussbeton/Handgriff seitlich
101,100144000_jit_raff_rshrp.png,jit_raff_rshrp,train,Vollguss/Aufklappbar
102,100165900_pers_rinv_rshrp.png,pers_rinv_rshrp,train,Vollguss/Handgriff geschlossen
103,100149600_pers_rinv_rshrp.png,pers_rinv_rshrp,train,Vollguss/Aufklappbar
104,100020700_raff_rcont_rot.png,raff_rcont_rot,train,Vollguss/Pickelloch geschlossen
105,100076300_fliph_jit_rshrp.png,fliph_jit_rshrp,train,Rost/Strassenrost
106,100019000_blur_flipv_raff.png,blur_flipv_raff,train,Gussbeton/Handgriff mitte
107,100057200_flipv_rinv_rot.png,flipv_rinv_rot,train,Gussbeton/Handgriff mitte
109,100066000_jit_pers_rot.png,jit_pers_rot,train,Vollguss/Handgriff geschlossen
110,100171900_flipv_jit_rcrop.png,flipv_jit_rcrop,train,Andere/-
111,100074400_raff_rcont_rshrp.png,raff_rcont_rshrp,train,"Vollguss/Handgriff geschlossen, verschraubt"
112,100044500_fliph_flipv_rinv.png,fliph_flipv_rinv,train,Rost/Strassenrost gewoelbt
113,100057200_blur_raff_rcrop.png,blur_raff_rcrop,train,Gussbeton/Handgriff mitte
115,100020100_rcrop_rinv_rot.png,rcrop_rinv_rot,train,Gussbeton/Pickelloch geschlossen
116,100104700_jit_raff_rcrop.png,jit_raff_rcrop,train,Andere/-
117,100026500_flipv_raff_rinv.png,flipv_raff_rinv,train,Andere/-
118,100070500_blur_rcont_rot.png,blur_rcont_rot,train,Gussbeton/Pickelloch geschlossen
119,100060500_fliph_flipv_raff.png,fliph_flipv_raff,train,Gussbeton/Pickelloch belueftet
120,100211600_flipv_rinv_rshrp.png,flipv_rinv_rshrp,train,Rost/Strassenrost
121,100075600_jit_rcrop_rinv.png,jit_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
122,100068900_fliph_flipv_rcrop.png,fliph_flipv_rcrop,train,Vollguss/Pickelloch geschlossen
123,100175700_blur_orig_rinv.png,blur_orig_rinv,train,Gussbeton/Pickelloch geschlossen
124,100100800_blur_raff_rinv.png,blur_raff_rinv,train,Andere/-
125,100116600_blur_flipv_rcont.png,blur_flipv_rcont,train,Gussbeton/Handgriff seitlich
126,100214800_fliph_raff_rcrop.png,fliph_raff_rcrop,train,Andere/-
127,100054200_blur_orig_pers.png,blur_orig_pers,train,"Vollguss/Handgriff geschlossen, verschraubt"
128,100149600_blur_pers_rinv.png,blur_pers_rinv,train,Vollguss/Aufklappbar
129,100109400_flipv_rinv_rshrp.png,flipv_rinv_rshrp,train,Gussbeton/Pickelloch geschlossen
130,100026000_flipv_jit_rcrop.png,flipv_jit_rcrop,train,Vollguss/Pickelloch geschlossen
131,100144000_flipv_jit_rcont.png,flipv_jit_rcont,train,Vollguss/Aufklappbar
132,100017100_blur_pers_rinv.png,blur_pers_rinv,train,Gussbeton/Pickelloch geschlossen
133,100175100_blur_flipv_rot.png,blur_flipv_rot,train,Rost/Strassenrost
134,100005100_fliph_flipv_raff.png,fliph_flipv_raff,train,Vollguss/Pickelloch geschlossen
135,100112000_pers_rinv_rot.png,pers_rinv_rot,train,Gussbeton/Handgriff seitlich
136,100211200_blur_orig_rot.png,blur_orig_rot,train,Rost/Strassenrost gewoelbt
137,100008600_blur_raff_rcont.png,blur_raff_rcont,train,Vollguss/Handgriff geschlossen
139,100105600_jit_pers_rot.png,jit_pers_rot,train,Gussbeton/Handgriff seitlich
140,100048100_flipv_orig_raff.png,flipv_orig_raff,train,Rost/Strassenrost
141,100038000_blur_fliph_raff.png,blur_fliph_raff,train,Vollguss/Pickelloch geschlossen
142,100070600_fliph_jit_rshrp.png,fliph_jit_rshrp,train,"Vollguss/Handgriff geschlossen, verschraubt"
143,100149600_fliph_flipv_rshrp.png,fliph_flipv_rshrp,train,Vollguss/Aufklappbar
144,100100200_blur_jit_rinv.png,blur_jit_rinv,train,Gussbeton/Handgriff seitlich
145,100170000_blur_rinv_rot.png,blur_rinv_rot,train,Gussbeton/Handgriff mitte
146,100042600_blur_jit_rot.png,blur_jit_rot,train,Rost/Einlauf rund
147,100206100_flipv_orig_rshrp.png,flipv_orig_rshrp,train,Vollguss/Aufklappbar
148,100061200_fliph_rcont_rot.png,fliph_rcont_rot,train,Gussbeton/Pickelloch geschlossen
150,100125900_blur_jit_rshrp.png,blur_jit_rshrp,train,Vollguss/Pickelloch geschlossen
151,100159800_jit_rcont_rot.png,jit_rcont_rot,train,Vollguss/Pickelloch geschlossen
152,100134900_blur_raff_rot.png,blur_raff_rot,train,Gussbeton/Pickelloch geschlossen
153,100009000_flipv_orig_rinv.png,flipv_orig_rinv,train,Rost/Strassenrost gewoelbt
155,100026300_raff_rcont_rinv.png,raff_rcont_rinv,train,Andere/-
156,100056200_orig_pers_raff.png,orig_pers_raff,train,"Vollguss/Handgriff geschlossen, verschraubt"
157,100162500_raff_rcont_rcrop.png,raff_rcont_rcrop,train,Vollguss/Pickelloch geschlossen
158,100075100_fliph_rot_rshrp.png,fliph_rot_rshrp,train,Gussbeton/Pickelloch geschlossen
159,100186400_blur_jit_pers.png,blur_jit_pers,train,"Vollguss/Handgriff geschlossen, verschraubt"
160,100133500_fliph_flipv_rshrp.png,fliph_flipv_rshrp,train,Gussbeton/Handgriff mitte
161,100181500_fliph_orig_rinv.png,fliph_orig_rinv,train,Gussbeton/Handgriff seitlich
162,100185700_blur_flipv_rinv.png,blur_flipv_rinv,train,Rost/Einlauf rund
163,100100000_flipv_orig_rshrp.png,flipv_orig_rshrp,train,Rost/Strassenrost gewoelbt
164,100027000_orig_rcont_rshrp.png,orig_rcont_rshrp,train,Gussbeton/Handgriff mitte
165,100040600_fliph_pers_rinv.png,fliph_pers_rinv,train,Gussbeton/Pickelloch geschlossen
166,100152800_jit_raff_rcont.png,jit_raff_rcont,train,Vollguss/Pickelloch belueftet
167,100007100_fliph_raff_rcont.png,fliph_raff_rcont,train,"Vollguss/Handgriff geschlossen, verschraubt"
168,100073600_fliph_rcrop_rinv.png,fliph_rcrop_rinv,train,Gussbeton/Handgriff seitlich
169,100063600_flipv_pers_rinv.png,flipv_pers_rinv,train,Rost/Einlauf rund
170,100041500_orig_rcont_rcrop.png,orig_rcont_rcrop,train,Andere/-
171,100187400_blur_flipv_rshrp.png,blur_flipv_rshrp,train,Rost/Strassenrost
172,100000900_raff_rot_rshrp.png,raff_rot_rshrp,train,Gussbeton/Pickelloch belueftet
173,100149700_flipv_rinv_rot.png,flipv_rinv_rot,train,Rost/Einlauf rund
174,100094800_fliph_pers_rcrop.png,fliph_pers_rcrop,train,Rost/Einlauf rund
175,100044500_blur_raff_rcrop.png,blur_raff_rcrop,train,Rost/Strassenrost gewoelbt
176,100014700_fliph_pers_rcrop.png,fliph_pers_rcrop,train,Gussbeton/Handgriff seitlich
177,100068400_fliph_jit_rinv.png,fliph_jit_rinv,train,Rost/Strassenrost
178,100100000_fliph_raff_rinv.png,fliph_raff_rinv,train,Rost/Strassenrost gewoelbt
179,100061900_jit_rcrop_rinv.png,jit_rcrop_rinv,train,Rost/Einlauf rund
180,100059000_orig_pers_raff.png,orig_pers_raff,train,Vollguss/Pickelloch belueftet
181,100045500_fliph_jit_rcrop.png,fliph_jit_rcrop,train,Rost/Strassenrost gewoelbt
182,100170000_flipv_pers_rot.png,flipv_pers_rot,train,Gussbeton/Handgriff mitte
183,100120800_orig_rcrop_rinv.png,orig_rcrop_rinv,train,Rost/Einlauf rund
184,100099400_blur_jit_rinv.png,blur_jit_rinv,train,Gussbeton/Handgriff seitlich
185,100145000_fliph_jit_orig.png,fliph_jit_orig,train,"Vollguss/Handgriff geschlossen, verschraubt"
186,100016200_flipv_jit_rcont.png,flipv_jit_rcont,train,Rost/Einlauf rund
187,100204900_fliph_pers_rinv.png,fliph_pers_rinv,train,Vollguss/Pickelloch geschlossen
188,100162400_jit_raff_rinv.png,jit_raff_rinv,train,"Vollguss/Handgriff geschlossen, verschraubt"
190,100097400_blur_rot_rshrp.png,blur_rot_rshrp,train,Rost/Strassenrost
