image,set,label
100184900.png,train,Rost/Strassenrost
100034700.png,train,Rost/Strassenrost
100003200.png,train,Vollguss/Handgriff geschlossen
100004000.png,train,Gussbeton/Pickelloch belueftet
100125300.png,train,Vollguss/Handgriff geschlossen
100030400.png,train,Vollguss/Handgriff geschlossen
100041100.png,train,Rost/Strassenrost
100046600.png,train,Gussbeton/Pickelloch belueftet
100104400.png,train,Vollguss/Handgriff geschlossen
100146100.png,train,Vollguss/Pickelloch geschlossen
100155900.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100005100.png,train,Vollguss/Pickelloch geschlossen
100085800.png,train,Vollguss/Handgriff geschlossen
100013000.png,train,Vollguss/Pickelloch geschlossen
100092000.png,train,Vollguss/Handgriff geschlossen
100049100.png,train,Rost/Strassenrost
100139500.png,train,Vollguss/Handgriff geschlossen
100020000.png,train,Gussbeton/Pickelloch geschlossen
100074500.png,train,Gussbeton/Handgriff mitte
100093500.png,train,Vollguss/Handgriff geschlossen
100109500.png,train,Vollguss/Handgriff geschlossen
100010700.png,train,Vollguss/Handgriff geschlossen
100088900.png,train,Vollguss/Handgriff geschlossen
100055700.png,train,Vollguss/Pickelloch geschlossen
100135700.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100110300.png,train,Vollguss/Pickelloch belueftet
100047000.png,train,Gussbeton/Pickelloch belueftet
100085300.png,train,Rost/Einlauf rund
100089900.png,train,Rost/Strassenrost
100129900.png,train,Vollguss/Handgriff geschlossen
100162600.png,train,Vollguss/Handgriff geschlossen
100215200.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100022600.png,train,Rost/Einlauf rund
100188400.png,train,Vollguss/Handgriff geschlossen
100156900.png,train,Gussbeton/Pickelloch geschlossen
100089000.png,train,Vollguss/Pickelloch belueftet
100096000.png,train,Vollguss/Handgriff geschlossen
100147000.png,train,Gussbeton/Handgriff seitlich
100208500.png,train,Vollguss/Handgriff geschlossen
100029100.png,train,Vollguss/Pickelloch geschlossen
100138000.png,train,Vollguss/Pickelloch belueftet
100193500.png,train,Vollguss/Pickelloch belueftet
100094300.png,train,Rost/Strassenrost
100215600.png,train,Gussbeton/Pickelloch geschlossen
100068100.png,train,Rost/Strassenrost
100135800.png,train,Gussbeton/Pickelloch belueftet
100210500.png,train,Vollguss/Pickelloch belueftet
100123300.png,train,Rost/Strassenrost
100001500.png,train,Vollguss/Pickelloch geschlossen
100103700.png,train,Gussbeton/Pickelloch geschlossen
100205100.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100024800.png,train,Rost/Einlauf rund
100047300.png,train,Vollguss/Pickelloch geschlossen
100013500.png,train,Gussbeton/Handgriff seitlich
100216700.png,train,Gussbeton/Pickelloch geschlossen
100039200.png,train,Rost/Strassenrost
100054300.png,train,Vollguss/Pickelloch geschlossen
100099600.png,train,Rost/Strassenrost
100165000.png,train,Vollguss/Handgriff geschlossen
100194100.png,train,Rost/Strassenrost
100094000.png,train,Vollguss/Pickelloch belueftet
100043800.png,train,Vollguss/Handgriff geschlossen
100132200.png,train,Vollguss/Pickelloch geschlossen
100066300.png,train,Vollguss/Handgriff geschlossen
100130900.png,train,Rost/Strassenrost
100072100.png,train,Vollguss/Pickelloch geschlossen
100127600.png,train,Vollguss/Handgriff geschlossen
100087600.png,train,Vollguss/Handgriff geschlossen
100195100.png,train,Rost/Strassenrost
100165700.png,train,Rost/Strassenrost
100191800.png,train,Rost/Strassenrost
100184300.png,train,Vollguss/Handgriff geschlossen
100012700.png,train,Gussbeton/Pickelloch geschlossen
100059100.png,train,Vollguss/Handgriff geschlossen
100208200.png,train,Rost/Strassenrost
100109800.png,train,Vollguss/Handgriff geschlossen
100055500.png,train,Vollguss/Handgriff geschlossen
100098500.png,train,Rost/Strassenrost
100060700.png,train,Gussbeton/Pickelloch belueftet
100002300.png,train,Rost/Strassenrost
100157500.png,train,Gussbeton/Pickelloch geschlossen
100210700.png,train,Rost/Strassenrost
100010500.png,train,Vollguss/Handgriff geschlossen
100051000.png,train,Rost/Einlauf rund
100163900.png,train,Rost/Strassenrost
100204100.png,train,Rost/Einlauf rund
100069900.png,train,Rost/Einlauf rund
100036400.png,train,Rost/Strassenrost
100036800.png,train,Gussbeton/Pickelloch geschlossen
100026800.png,train,Vollguss/Pickelloch geschlossen
100186600.png,train,Rost/Strassenrost
100132900.png,train,Gussbeton/Handgriff mitte
100001900.png,train,Vollguss/Handgriff geschlossen
100005500.png,train,Rost/Strassenrost
100209100.png,train,Rost/Strassenrost
100133300.png,train,Rost/Strassenrost
100153100.png,train,Gussbeton/Handgriff seitlich
100125100.png,train,Vollguss/Pickelloch geschlossen
100037700.png,train,Vollguss/Pickelloch geschlossen
100085200.png,train,Rost/Einlauf rund
100019900.png,train,Vollguss/Handgriff geschlossen
100188600.png,train,Vollguss/Pickelloch geschlossen
100207500.png,train,Vollguss/Pickelloch geschlossen
100116700.png,train,Gussbeton/Pickelloch geschlossen
100109700.png,train,Vollguss/Handgriff geschlossen
100090500.png,train,Rost/Strassenrost
100066700.png,train,Gussbeton/Pickelloch geschlossen
100060300.png,train,Rost/Strassenrost
100109400.png,train,Gussbeton/Pickelloch geschlossen
100179200.png,train,Rost/Strassenrost
100184400.png,train,Vollguss/Pickelloch geschlossen
100138100.png,train,Rost/Strassenrost
100069000.png,train,Rost/Einlauf rund
100140400.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100196000.png,train,Rost/Strassenrost
100111800.png,train,Vollguss/Pickelloch belueftet
100134200.png,train,Rost/Strassenrost
100132000.png,train,Vollguss/Pickelloch geschlossen
100027200.png,train,Rost/Strassenrost
100120000.png,train,Rost/Strassenrost
100101400.png,train,Vollguss/Handgriff geschlossen
100119900.png,train,Gussbeton/Pickelloch geschlossen
100189500.png,train,Rost/Strassenrost
100058700.png,train,Vollguss/Handgriff geschlossen
100025700.png,train,Rost/Strassenrost gewoelbt
100003400.png,train,Gussbeton/Handgriff seitlich
100065000.png,train,Rost/Strassenrost
100040600.png,train,Gussbeton/Pickelloch geschlossen
100142100.png,train,Rost/Strassenrost
100095600.png,train,Rost/Strassenrost
100178300.png,train,Vollguss/Pickelloch geschlossen
100116300.png,train,Rost/Strassenrost
100115900.png,train,Vollguss/Handgriff geschlossen
100157800.png,train,Rost/Strassenrost
100172800.png,train,Gussbeton/Pickelloch geschlossen
100136400.png,train,Rost/Strassenrost
100067900.png,train,Vollguss/Handgriff geschlossen
100100200.png,train,Gussbeton/Handgriff seitlich
100068900.png,train,Vollguss/Pickelloch geschlossen
100178800.png,train,Gussbeton/Handgriff seitlich
100208000.png,train,Gussbeton/Pickelloch geschlossen
100072400.png,train,Vollguss/Handgriff geschlossen
100091700.png,train,Gussbeton/Handgriff mitte
100073900.png,train,Gussbeton/Pickelloch geschlossen
100056100.png,train,Rost/Strassenrost
100082600.png,train,Vollguss/Pickelloch geschlossen
100035900.png,train,Gussbeton/Pickelloch geschlossen
100139600.png,train,Vollguss/Pickelloch geschlossen
100073200.png,train,Vollguss/Pickelloch geschlossen
100082500.png,train,Gussbeton/Handgriff seitlich
100088600.png,train,Vollguss/Handgriff geschlossen
100167700.png,train,Gussbeton/Pickelloch belueftet
100062300.png,train,Vollguss/Handgriff geschlossen
100080600.png,train,Vollguss/Pickelloch geschlossen
100213600.png,train,Vollguss/Pickelloch geschlossen
100083100.png,train,Rost/Strassenrost
100142600.png,train,Vollguss/Pickelloch geschlossen
100050700.png,train,Vollguss/Handgriff geschlossen
100129700.png,train,Vollguss/Aufklappbar
100152500.png,train,Gussbeton/Handgriff seitlich
100111000.png,train,Vollguss/Pickelloch geschlossen
100175100.png,train,Rost/Strassenrost
100178500.png,train,Rost/Strassenrost
100167600.png,train,Rost/Strassenrost
100033100.png,train,Vollguss/Handgriff geschlossen
100005000.png,train,Vollguss/Pickelloch geschlossen
