image,transforms,set,label
100040500.png,rcont_rcrop_rshrp,train,Rost/Strassenrost
100040500.png,orig_rcrop_rot,train,Rost/Strassenrost
100038500.png,orig_raff_rcrop,train,Rost/Strassenrost
100038500.png,blur_jit_pers,train,Rost/Strassenrost
100058200.png,blur_fliph_rcont,train,Rost/Strassenrost
100058200.png,fliph_orig_rcrop,train,Rost/Strassenrost
100097800.png,flipv_rcrop_rshrp,train,Rost/Strassenrost
100097800.png,fliph_flipv_raff,train,Rost/Strassenrost
100030000.png,jit_pers_rcont,train,Rost/Strassenrost
100030000.png,rcont_rcrop_rinv,train,Rost/Strassenrost
100167300.png,rcrop_rot_rshrp,train,Rost/Strassenrost
100167300.png,raff_rcrop_rshrp,train,Rost/Strassenrost
100084600.png,blur_rcrop_rot,train,Rost/Strassenrost
100084600.png,blur_orig_rinv,train,Rost/Strassenrost
100211600.png,jit_pers_rcrop,train,Rost/Strassenrost
100211600.png,flipv_rinv_rshrp,train,Rost/Strassenrost
100068600.png,flipv_raff_rot,train,Rost/Strassenrost
100068600.png,pers_rcrop_rinv,train,Rost/Strassenrost
100120600.png,rcrop_rinv_rshrp,train,Rost/Strassenrost
100120600.png,flipv_pers_raff,train,Rost/Strassenrost
100122800.png,fliph_raff_rshrp,train,Rost/Strassenrost
100122800.png,fliph_orig_rcont,train,Rost/Strassenrost
100139000.png,jit_raff_rinv,train,Rost/Strassenrost
100139000.png,flipv_jit_rinv,train,Rost/Strassenrost
100148100.png,blur_rot_rshrp,train,Rost/Strassenrost
100148100.png,rcont_rcrop_rinv,train,Rost/Strassenrost
100169400.png,pers_rcrop_rinv,train,Rost/Strassenrost
100169400.png,jit_rcont_rinv,train,Rost/Strassenrost
100205800.png,fliph_raff_rcont,train,Rost/Strassenrost
100205800.png,raff_rcrop_rinv,train,Rost/Strassenrost
100161700.png,jit_pers_rcrop,train,Rost/Strassenrost
100161700.png,pers_rinv_rshrp,train,Rost/Strassenrost
100006100.png,jit_rcrop_rinv,train,Rost/Strassenrost
100006100.png,fliph_jit_rot,train,Rost/Strassenrost
100202700.png,blur_flipv_jit,train,Rost/Strassenrost
100202700.png,fliph_jit_raff,train,Rost/Strassenrost
100024100.png,blur_flipv_raff,train,Rost/Strassenrost
100024100.png,fliph_pers_rshrp,train,Rost/Strassenrost
100044800.png,blur_jit_raff,train,Rost/Strassenrost
100044800.png,raff_rcont_rot,train,Rost/Strassenrost
100046000.png,orig_pers_rcrop,train,Rost/Strassenrost
100046000.png,flipv_jit_rcrop,train,Rost/Strassenrost
100042500.png,jit_orig_rinv,train,Rost/Strassenrost
100042500.png,blur_orig_rot,train,Rost/Strassenrost
100092300.png,flipv_rinv_rot,train,Rost/Strassenrost
100092300.png,blur_flipv_orig,train,Rost/Strassenrost
100211800.png,fliph_flipv_jit,train,Rost/Strassenrost
100211800.png,jit_orig_rcont,train,Rost/Strassenrost
100057100.png,rcont_rot_rshrp,train,Rost/Strassenrost
100057100.png,raff_rcont_rot,train,Rost/Strassenrost
100110800.png,flipv_orig_rcont,train,Rost/Strassenrost
100110800.png,jit_rinv_rot,train,Rost/Strassenrost
100089600.png,flipv_raff_rinv,train,Rost/Strassenrost
100089600.png,pers_rcont_rot,train,Rost/Strassenrost
100113600.png,flipv_jit_orig,train,Rost/Strassenrost
100113600.png,blur_rot_rshrp,train,Rost/Strassenrost
100138600.png,blur_orig_rinv,train,Rost/Strassenrost
100138600.png,blur_flipv_rot,train,Rost/Strassenrost
100195100.png,fliph_rcrop_rot,train,Rost/Strassenrost
100195100.png,orig_pers_rcrop,train,Rost/Strassenrost
100181600.png,flipv_rcrop_rot,train,Rost/Strassenrost
100181600.png,blur_rcont_rinv,train,Rost/Strassenrost
100139200.png,blur_orig_pers,train,Rost/Strassenrost
100195300.png,flipv_pers_rcrop,train,Rost/Strassenrost
100195300.png,blur_raff_rcrop,train,Rost/Strassenrost
100212500.png,rcont_rinv_rot,train,Rost/Strassenrost
