image,transforms,label,set,filename
100201600.png,orig_pers_flipv,Rost/Strassenrost,train,100201600_orig_pers_flipv.png
100201600.png,blur_pers_rot,Rost/Strassenrost,train,100201600_blur_pers_rot.png
100023200.png,rot_fliph_orig,Rost/Strassenrost,train,100023200_rot_fliph_orig.png
100080900.png,jit_fliph_gray,Rost/Strassenrost,train,100080900_jit_fliph_gray.png
100180300.png,gray_jit_flipv,Vollguss/Pickelloch belueftet,train,100180300_gray_jit_flipv.png
100180300.png,pers_flipv_jit,Vollguss/Pickelloch belueftet,train,100180300_pers_flipv_jit.png
100180300.png,blur_orig_fliph,Vollguss/Pickelloch belueftet,train,100180300_blur_orig_fliph.png
100180300.png,blur_orig_pers,Vollguss/Pickelloch belueftet,train,100180300_blur_orig_pers.png
100180300.png,orig_fliph_gray,Vollguss/Pickelloch belueftet,train,100180300_orig_fliph_gray.png
100180300.png,jit_flipv_blur,Vollguss/Pickelloch belueftet,train,100180300_jit_flipv_blur.png
100180300.png,orig_blur_flipv,Vollguss/Pickelloch belueftet,train,100180300_orig_blur_flipv.png
100180300.png,fliph_rot_flipv,Vollguss/Pickelloch belueftet,train,100180300_fliph_rot_flipv.png
100180300.png,jit_blur_fliph,Vollguss/Pickelloch belueftet,train,100180300_jit_blur_fliph.png
100180300.png,jit_flipv_orig,Vollguss/Pickelloch belueftet,train,100180300_jit_flipv_orig.png
100036000.png,flipv_jit_orig,Gussbeton/Pickelloch geschlossen,train,100036000_flipv_jit_orig.png
100036000.png,blur_gray_jit,Gussbeton/Pickelloch geschlossen,train,100036000_blur_gray_jit.png
100036000.png,fliph_blur_pers,Gussbeton/Pickelloch geschlossen,train,100036000_fliph_blur_pers.png
100036000.png,blur_pers_gray,Gussbeton/Pickelloch geschlossen,train,100036000_blur_pers_gray.png
100036000.png,blur_jit_gray,Gussbeton/Pickelloch geschlossen,train,100036000_blur_jit_gray.png
100048200.png,rot_blur_pers,Rost/Strassenrost,train,100048200_rot_blur_pers.png
100048200.png,orig_blur_jit,Rost/Strassenrost,train,100048200_orig_blur_jit.png
100048200.png,blur_rot_gray,Rost/Strassenrost,train,100048200_blur_rot_gray.png
100003100.png,gray_rot_pers,Vollguss/Pickelloch belueftet,train,100003100_gray_rot_pers.png
100003100.png,orig_rot_fliph,Vollguss/Pickelloch belueftet,train,100003100_orig_rot_fliph.png
100003100.png,rot_jit_blur,Vollguss/Pickelloch belueftet,train,100003100_rot_jit_blur.png
100003100.png,flipv_orig_rot,Vollguss/Pickelloch belueftet,train,100003100_flipv_orig_rot.png
100003100.png,pers_fliph_gray,Vollguss/Pickelloch belueftet,train,100003100_pers_fliph_gray.png
100003100.png,orig_jit_flipv,Vollguss/Pickelloch belueftet,train,100003100_orig_jit_flipv.png
100003100.png,pers_jit_blur,Vollguss/Pickelloch belueftet,train,100003100_pers_jit_blur.png
100003100.png,fliph_pers_rot,Vollguss/Pickelloch belueftet,train,100003100_fliph_pers_rot.png
100003100.png,rot_blur_pers,Vollguss/Pickelloch belueftet,train,100003100_rot_blur_pers.png
100003100.png,jit_fliph_rot,Vollguss/Pickelloch belueftet,train,100003100_jit_fliph_rot.png
100047300.png,orig_pers_jit,Vollguss/Pickelloch geschlossen,train,100047300_orig_pers_jit.png
100216700.png,0,Gussbeton/Pickelloch geschlossen,train,100216700_0.png
100204700.png,blur_jit_rot,Gussbeton/Pickelloch belueftet,train,100204700_blur_jit_rot.png
100204700.png,orig_pers_fliph,Gussbeton/Pickelloch belueftet,train,100204700_orig_pers_fliph.png
100204700.png,gray_fliph_flipv,Gussbeton/Pickelloch belueftet,train,100204700_gray_fliph_flipv.png
100204700.png,rot_blur_pers,Gussbeton/Pickelloch belueftet,train,100204700_rot_blur_pers.png
100204700.png,orig_flipv_jit,Gussbeton/Pickelloch belueftet,train,100204700_orig_flipv_jit.png
100204700.png,blur_pers_rot,Gussbeton/Pickelloch belueftet,train,100204700_blur_pers_rot.png
100178000.png,blur_jit_flipv,Gussbeton/Pickelloch belueftet,train,100178000_blur_jit_flipv.png
100178000.png,blur_jit_orig,Gussbeton/Pickelloch belueftet,train,100178000_blur_jit_orig.png
100178000.png,rot_fliph_pers,Gussbeton/Pickelloch belueftet,train,100178000_rot_fliph_pers.png
100178000.png,orig_rot_pers,Gussbeton/Pickelloch belueftet,train,100178000_orig_rot_pers.png
100178000.png,flipv_rot_blur,Gussbeton/Pickelloch belueftet,train,100178000_flipv_rot_blur.png
100178000.png,blur_flipv_pers,Gussbeton/Pickelloch belueftet,train,100178000_blur_flipv_pers.png
100178000.png,fliph_blur_flipv,Gussbeton/Pickelloch belueftet,train,100178000_fliph_blur_flipv.png
100178000.png,blur_fliph_pers,Gussbeton/Pickelloch belueftet,train,100178000_blur_fliph_pers.png
100178000.png,jit_orig_pers,Gussbeton/Pickelloch belueftet,train,100178000_jit_orig_pers.png
100178000.png,pers_fliph_gray,Gussbeton/Pickelloch belueftet,train,100178000_pers_fliph_gray.png
100178000.png,flipv_gray_fliph,Gussbeton/Pickelloch belueftet,train,100178000_flipv_gray_fliph.png
100099800.png,blur_pers_rot,Rost/Strassenrost,train,100099800_blur_pers_rot.png
100204600.png,rot_fliph_blur,Gussbeton/Pickelloch belueftet,train,100204600_rot_fliph_blur.png
100204600.png,blur_pers_fliph,Gussbeton/Pickelloch belueftet,train,100204600_blur_pers_fliph.png
100204600.png,gray_flipv_orig,Gussbeton/Pickelloch belueftet,train,100204600_gray_flipv_orig.png
100204600.png,blur_gray_flipv,Gussbeton/Pickelloch belueftet,train,100204600_blur_gray_flipv.png
100204600.png,jit_blur_fliph,Gussbeton/Pickelloch belueftet,train,100204600_jit_blur_fliph.png
100204600.png,rot_orig_blur,Gussbeton/Pickelloch belueftet,train,100204600_rot_orig_blur.png
100204600.png,fliph_blur_orig,Gussbeton/Pickelloch belueftet,train,100204600_fliph_blur_orig.png
100205900.png,rot_blur_flipv,Vollguss/Pickelloch geschlossen,train,100205900_rot_blur_flipv.png
100205900.png,flipv_orig_rot,Vollguss/Pickelloch geschlossen,train,100205900_flipv_orig_rot.png
100047900.png,flipv_gray_blur,Vollguss/Handgriff geschlossen,train,100047900_flipv_gray_blur.png
100047900.png,gray_blur_orig,Vollguss/Handgriff geschlossen,train,100047900_gray_blur_orig.png
100076500.png,flipv_blur_orig,Vollguss/Pickelloch geschlossen,train,100076500_flipv_blur_orig.png
100133200.png,flipv_rot_blur,Gussbeton/Pickelloch geschlossen,train,100133200_flipv_rot_blur.png
100133200.png,pers_rot_blur,Gussbeton/Pickelloch geschlossen,train,100133200_pers_rot_blur.png
100133200.png,fliph_rot_flipv,Gussbeton/Pickelloch geschlossen,train,100133200_fliph_rot_flipv.png
100133200.png,orig_flipv_fliph,Gussbeton/Pickelloch geschlossen,train,100133200_orig_flipv_fliph.png
100165400.png,fliph_flipv_orig,Vollguss/Handgriff geschlossen,train,100165400_fliph_flipv_orig.png
100165400.png,gray_flipv_orig,Vollguss/Handgriff geschlossen,train,100165400_gray_flipv_orig.png
100127900.png,fliph_blur_rot,Rost/Strassenrost,train,100127900_fliph_blur_rot.png
100127900.png,blur_orig_jit,Rost/Strassenrost,train,100127900_blur_orig_jit.png
100127900.png,fliph_gray_jit,Rost/Strassenrost,train,100127900_fliph_gray_jit.png
100127900.png,pers_orig_flipv,Rost/Strassenrost,train,100127900_pers_orig_flipv.png
100127900.png,pers_jit_flipv,Rost/Strassenrost,train,100127900_pers_jit_flipv.png
100131200.png,jit_blur_orig,Vollguss/Handgriff geschlossen,train,100131200_jit_blur_orig.png
